Res	Avg.E	Form
8H1B	112.043778	U
7YSE	620.117405	U
7XWZ	71.700207	U
8AXF	707.042343	U
8JOZ	143.561890	U
7ZLQ	54.245507	U
8TG4	100.573275	U
1ASY	339.203512	B
1B23	224.777421	B
1C0A	403.715802	B
1QTQ	364.596107	B
2BTE	642.888967	B
2DRB	330.350504	B
2FMT	156.484762	B
2ZZM	201.599362	B
3HL2	1327.293841	B
3VJR	122.846250	B
1DFU	49.449671	B
1FEU	102.546136	B
1MMS	64.518978	B
1OOA	229.454647	B
1R3E	191.159977	B
2R8S	300.316548	B
3SNP	659.637961	B
1JBS	87.177652	B
1WSU	90.752701	B
1ZBH	376.652690	B
2BH2	220.246055	B
1F7U	429.061185	B
1H3E	525.249988	B
1H4S	723.432082	B
1J1U	462.404559	B
1N78	304.181145	B
1QF6	306.179610	B
1SER	585.998216	B
1U0B	241.448479	B
1VFG	262.401412	B
2AZX	630.772097	B
2FK6	204.949648	B
3ADB	171.924356	B
3AMT	251.892496	B
4YCP	176.999379	B
4YVJ	287.866095	B
5HR7	205.860972	B
1SDS	56.084659	B
2HW8	126.018376	B
1MSW	582.671125	B
1N35	993.055558	B
1Q2R	444.110683	B
1WNE	339.810773	B
1YVP	340.973199	B
1ZBI	99.619349	B
2AZ0	75.014448	B
2BGG	306.909831	B
2EZ6	212.547908	B
2F8S	603.707957	B
2GJW	399.923355	B
2GXB	28.829832	B
2QUX	130.452109	B
2Y8W	90.547176	B
2ZKO	86.848044	B
3BSN	316.926489	B
3DD2	184.817185	B
3EQT	170.698154	B
3FTE	196.111798	B
3KS8	149.672467	B
3MOJ	42.878062	B
3O3I	79.841984	B
3OIJ	280.211803	B
3OL6	340.039602	B
3RW6	155.689207	B
4ERD	128.935183	B
4FVU	142.367790	B
4IG8	232.008458	B
4ILL	375.028898	B
4ZT0	872.994990	B
5ED1	266.835901	B
5F5H	83.073282	B
1AV6	270.589287	B
1C9S	25.445950	B
1CVJ	47.350544	B
1G2E	95.041486	B
1K8W	166.631566	B
1KQ2	297.909736	B
1M5O	42.373174	B
1M8V	91.142658	B
1M8W	200.240644	B
1UVI	463.841124	B
1WPU	92.616111	B
2A8V	70.180278	B
2ASB	89.342528	B
2GIC	312.871456	B
2IX1	388.967895	B
2JEA	329.001125	B
2JLU	302.385443	B
2PY9	33.778211	B
2Q66	368.766503	B
2R7R	932.529415	B
2XGJ	694.364931	B
2XNR	49.098623	B
2XZO	441.011823	B
3AEV	96.498221	B
3BX2	187.659119	B
3D2S	44.100529	B
3MDG	348.886732	B
3NMR	94.008053	B
3O8C	398.695793	B
3PF4	29.470894	B
3QJJ	147.618974	B
3RC8	440.393877	B
4E78	367.826392	B
4H5P	301.030447	B
4HOR	369.674159	B
4J7M	253.576482	B
4M59	944.867271	B
4MDX	121.476899	B
4N2Q	110.563255	B
4QU6	68.026195	B
5BUD	313.695480	B
5DET	116.193033	B
5EIM	96.841450	B
5ELS	74.007505	B
5EX7	193.247454	B
1G1X	51.786337	B
2OZB	68.336879	B
3A6P	738.747707	B
3IEV	160.362620	B
3ZC0	1261.249061	B
5WTK	764.441649	B
5LTA	536.103658	B
5WTY	412.077596	B
5GXH	467.798566	B
5T8Y	287.896570	B
5B63	421.333350	B
5SZE	52.168467	B
5V7C	133.593883	B
5W0M	248.177759	B
5WT1	196.862251	B
5WWX	34.233516	B
5X6B	649.988079	B
5ZQ8	330.480655	B
5ZSC	638.817750	B
5ZW4	151.452274	B
6A4E	105.696899	B
6A6J	39.471141	B
6DCB	162.925706	B
6FQ3	289.263427	B
6GC5	45.632250	B
6HAU	402.878305	B
6I0V	281.198190	B
6L1W	139.495738	B
6L5N	233.813054	B
6LLB	277.302604	B
6LT7	80.933501	B
6LVR	129.755256	B
6PZQ	222.392932	B
6R9P	554.977892	B
6RTI	520.001134	B
6SY4	254.381223	B
6U6Y	653.457714	B
6U9X	187.641184	B
6ZOT	123.147594	B
6WXY	656.520520	B
6ZDP	604.760687	B
7C45	159.777777	B
7DOL	438.548689	B
7E8O	314.369538	B
7EIU	91.195054	B
7K5L	81.100592	B
7K98	1257.937493	B
7KFN	524.969785	B
7KKV	51.895342	B
7KL3	136.298898	B
7L6T	226.081321	B
7MJW	309.099311	B
7OG0	411.834885	B
7OM6	419.725011	B
7P0V	61.888223	B
7V4G	152.211172	B
7XD8	443.959962	B
7VSJ	96.878649	B
7VKI	74.520270	B
7VKL	104.122319	B
7Y7Q	1454.523117	B
8AF0	173.879350	B
8DZK	306.550514	B
8EDJ	302.156691	B
8H1B	112.132043	B
7YSE	594.110403	B
7XWZ	70.804007	B
8AXF	647.827350	B
8JOZ	149.603898	B
7ZLQ	44.552908	B
8TG4	105.092267	B
